"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","p_bh","p_bh_text"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6967,330,2.28132180061636,1.27687738277132,4.07590362879782,0.00534481288152461,"2.28 (1.28-4.08)","0.005",0.0109455793798426,"0.011"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6967,330,2.19920931252751,1.49019720621985,3.24555809131895,7.21912020952502e-05,"2.20 (1.49-3.25)","<0.001",0.000577529616762001,"<0.001"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","gained_control","Gained control",6967,330,2.34852382706675,1.49736004014037,3.68352568416559,0.000200784325174397,"2.35 (1.50-3.68)","<0.001",0.000803137300697589,"<0.001"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6967,330,2.2124479574884,1.23976898195449,3.94825651862799,0.00720249694788782,"2.21 (1.24-3.95)","0.007",0.0115239951166205,"0.012"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","control_loss","Control loss",6967,330,1.88276779305109,1.04074738482642,3.40602783560364,0.0364339105602948,"1.88 (1.04-3.41)","0.036",0.0485785474137264,"0.049"
"incident_heart_2015_2018","model2_demographic","OR","Persistent non-hypertensive","other_transition","Other transitions",6967,330,1.22952038807883,0.764319086483095,1.97786554259357,0.394275273219586,"1.23 (0.76-1.98)","0.394",0.450600312250956,"0.451"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,322,1.5476211657338,1.10399873858029,2.16950544319218,0.0112736138348642,"1.55 (1.10-2.17)","0.011",0.0225472276697283,"0.023"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,322,1.06518458402753,0.687070814888211,1.65138465128157,0.777728655873482,"1.07 (0.69-1.65)","0.778",0.777728655873482,"0.778"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,322,2.20052797911929,1.22796853665072,3.94336112234133,0.00804893006255761,"2.20 (1.23-3.94)","0.008",0.0214638135001536,"0.021"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,322,1.91830662026589,1.27392310001749,2.88863612670609,0.00181328511548948,"1.92 (1.27-2.89)","0.002",0.0120193043887674,"0.012"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","gained_control","Gained control",6707,322,2.03736274816634,1.27325267310481,3.26003397070756,0.00300482609719184,"2.04 (1.27-3.26)","0.003",0.0120193043887674,"0.012"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,322,1.96760991849497,1.09109719096504,3.54825291772181,0.0244612375529565,"1.97 (1.09-3.55)","0.024",0.0391379800847303,"0.039"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","control_loss","Control loss",6707,322,1.62202065649683,0.884163165805733,2.97563969169066,0.118211059871675,"1.62 (0.88-2.98)","0.118",0.157614746495567,"0.158"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,322,1.15010783422541,0.705974722437636,1.87364786345238,0.574334589911735,"1.15 (0.71-1.87)","0.574",0.656382388470555,"0.656"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6975,157,1.78883315158069,1.08593316427711,2.94670441004925,0.0223873568094413,"1.79 (1.09-2.95)","0.022",0.05969961815851,"0.060"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6975,157,2.35490566037689,1.40479817918384,3.94759955661176,0.00115586995323715,"2.35 (1.40-3.95)","0.001",0.00462347981294858,"0.005"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6975,157,2.16121212121157,0.850605478824361,5.49119180295836,0.105255215767067,"2.16 (0.85-5.49)","0.105",0.168408345227308,"0.168"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6975,157,5.38264150943276,3.41502621350257,8.48392598115758,4.14584133027546e-13,"5.38 (3.42-8.48)","<0.001",3.31667306422037e-12,"<0.001"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","gained_control","Gained control",6975,157,1.96744827586152,0.92390722931271,4.1896551898073,0.0792968504521474,"1.97 (0.92-4.19)","0.079",0.158593700904295,"0.159"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6975,157,1.28119760479007,0.395519937118846,4.15015059538345,0.679444895007524,"1.28 (0.40-4.15)","0.679",0.679444895007524,"0.679"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","control_loss","Control loss",6975,157,1.88677248677187,0.743771249442338,4.78629742613531,0.181313301100471,"1.89 (0.74-4.79)","0.181",0.241751068133961,"0.242"
"incident_stroke_2015_2018","model1_crude","OR","Persistent non-hypertensive","other_transition","Other transitions",6975,157,1.53706896551685,0.774186656828357,3.05169429609382,0.219242818443361,"1.54 (0.77-3.05)","0.219",0.250563221078126,"0.251"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6967,157,1.6631932693592,1.00693184364304,2.74716890592487,0.0469245851386062,"1.66 (1.01-2.75)","0.047",0.125132227036283,"0.125"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6967,157,2.07065135206045,1.22702500212393,3.49430289877397,0.0064041685982683,"2.07 (1.23-3.49)","0.006",0.0256166743930732,"0.026"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6967,157,1.89524658225749,0.740749067737821,4.84909095940981,0.182235983234051,"1.90 (0.74-4.85)","0.182",0.291577573174481,"0.292"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6967,157,4.76147455918257,2.99429527931457,7.57161130178605,4.27662196140507e-11,"4.76 (2.99-7.57)","<0.001",3.42129756912406e-10,"<0.001"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","gained_control","Gained control",6967,157,1.76892247993735,0.826217119243635,3.78724510440093,0.141967066486603,"1.77 (0.83-3.79)","0.142",0.283934132973206,"0.284"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6967,157,1.18127028156448,0.362981698808521,3.84426951190043,0.782002013991726,"1.18 (0.36-3.84)","0.782",0.782002013991726,"0.782"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","control_loss","Control loss",6967,157,1.75213138567204,0.688690862560115,4.45768131908247,0.239129248875297,"1.75 (0.69-4.46)","0.239",0.318838998500396,"0.319"
"incident_stroke_2015_2018","model2_demographic","OR","Persistent non-hypertensive","other_transition","Other transitions",6967,157,1.34911799311405,0.675225548283363,2.69557241128004,0.396459896198588,"1.35 (0.68-2.70)","0.396",0.453097024226957,"0.453"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,153,1.53236732923768,0.919038919244761,2.5550056505166,0.101771887463716,"1.53 (0.92-2.56)","0.102",0.271391699903243,"0.271"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,153,1.98383012080336,1.17083564489327,3.36134449388534,0.010889293093413,"1.98 (1.17-3.36)","0.011",0.0435571723736522,"0.044"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,153,1.85368526655405,0.723032491766106,4.75241307489004,0.198841781290314,"1.85 (0.72-4.75)","0.199",0.324606358813132,"0.325"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,153,3.92480930659121,2.37775110119059,6.47844431042082,8.92013933436508e-08,"3.92 (2.38-6.48)","<0.001",7.13611146749206e-07,"<0.001"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","gained_control","Gained control",6707,153,1.65334032194455,0.762535246474076,3.58479720486029,0.202878974258207,"1.65 (0.76-3.58)","0.203",0.324606358813132,"0.325"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,153,1.08521282295643,0.330404930169822,3.56437438903757,0.892786391422168,"1.09 (0.33-3.56)","0.893",0.892786391422168,"0.893"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","control_loss","Control loss",6707,153,1.5455290210127,0.597989097137131,3.99448746846417,0.36883594956682,"1.55 (0.60-3.99)","0.369",0.485187104509802,"0.485"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,153,1.32687449513324,0.662763434219536,2.65644698384476,0.424538716446077,"1.33 (0.66-2.66)","0.425",0.485187104509802,"0.485"
