"mean_sbp","or","lo","hi"
126.984848484848,1.15231912460902,0.918282228427824,1.44600355297419
127.580303030303,1.16584182184708,0.930099514859027,1.46133519247533
128.175757575758,1.17940365286505,0.941807909080303,1.47693915391913
128.771212121212,1.19299306415947,0.953373155745229,1.49283881401097
129.366666666667,1.20659804212517,0.964764343220362,1.50905124706476
129.962121212121,1.22020611221142,0.975954655896203,1.52558620145204
130.557575757576,1.23380433929332,0.986922012570719,1.54244522694741
131.15303030303,1.24737932932567,0.997649557383445,1.55962099087157
131.748484848485,1.26091723234626,1.00812597792412,1.57709681294158
132.343939393939,1.27440374689456,1.01834563577577,1.59484643822492
132.939393939394,1.28782412591046,1.02830850648278,1.61283405594857
133.534848484848,1.30116318417617,1.03801993719785,1.63101456068927
134.130303030303,1.31440530736208,1.04749023962757,1.64933404308939
134.725757575758,1.32753536547455,1.0567343802668,1.66773238336457
135.321212121212,1.34054573062569,1.06577211192633,1.68616051760883
135.916666666667,1.35343278632203,1.07462363930992,1.70457845899213
136.512121212121,1.36619305359398,1.08330769109098,1.72294859072655
137.107575757576,1.37882316131971,1.09184144727897,1.74123570315967
137.70303030303,1.39131984829533,1.10024051158977,1.75940705679296
138.298484848485,1.4036799651631,1.10851890940024,1.7774324171577
138.893939393939,1.41590047619722,1.11668910448487,1.79528406827281
139.489393939394,1.42797846094721,1.12476202884195,1.81293681031235
140.084848484848,1.4399111157389,1.13274712097437,1.83036794606461
140.680303030303,1.45169575503353,1.1406523689506,1.84755725981721
141.275757575758,1.46332981264547,1.14848435541262,1.86448699147296
141.871212121212,1.4748108428195,1.15624830241556,1.88114180799571
142.466666666667,1.4861365211686,1.16394811458438,1.89750877369629
143.062121212121,1.49730464547358,1.17158641956819,1.91357732038502
143.657575757576,1.50831313634606,1.1791646051772,1.92933921802395
144.25303030303,1.51916003775641,1.18668285291631,1.94478854619365
144.848484848485,1.5298435174285,1.19414016789712,1.95992166643173
145.443939393939,1.54036186710344,1.2015344053299,1.97473719529066
146.039393939394,1.55071350267439,1.20886229397984,1.98923597778854
146.634848484848,1.56089696419484,1.21611945712672,2.00342106078053
147.230303030303,1.57091091576306,1.22330043170166,2.01729766565258
147.825757575758,1.58075414528522,1.23039868639318,2.03087315962715
148.421212121212,1.59042556412011,1.23740663962278,2.04415702487087
149.016666666667,1.59992420660848,1.24431567838679,2.05716082450268
149.612121212121,1.60924922949001,1.25111617904911,2.06989816451933
150.207575757576,1.6183999112111,1.25779753124547,2.08238465058406
150.80303030303,1.62737565112692,1.26434816612145,2.09463783856697
151.398484848485,1.63617596860099,1.27075559016955,2.10667717768624
151.993939393939,1.64480050200591,1.27700642594889,2.11852394508401
152.589393939394,1.65324900762865,1.28308646095807,2.1302011706867
153.184848484848,1.66152135848434,1.28898070587951,2.14173355125277
153.780303030303,1.66961754304186,1.29467346331488,2.15314735261177
154.375757575758,1.67753766386546,1.30014840797769,2.16447029925178
154.971212121212,1.68528193617584,1.30538867909571,2.17573145062671
155.566666666667,1.69285068633476,1.31037698549689,2.18696106383262
156.162121212121,1.70024435025698,1.31509572350864,2.19819044264559
156.757575757576,1.7074634717535,1.31952710739311,2.20945177331922
157.35303030303,1.71450870080989,1.32365331158016,2.22077794799881
157.948484848485,1.72138079180385,1.32745662345778,2.23220237710879
158.543939393939,1.72808060166569,1.33091960495751,2.24375879258957
159.139393939394,1.73460908798585,1.33402526065449,2.2554810443746
159.734848484848,1.74096730707325,1.3367572096181,2.26740289297846
160.330303030303,1.74715641196847,1.33909985783212,2.27955780148043
160.925757575758,1.7531776504155,1.34103856768466,2.29197873050223
161.521212121212,1.759032362796,1.34255982083725,2.30469793996523
162.116666666667,1.76472198002987,1.34365137074345,2.31774680144703
